Month,Revenue,Cost_of_Production,Operating_Expenses,Net_Profit,Risk_Score,Credit_Score,Budgeted_Revenue,Budgeted_Cost_of_Production,Revenue_Variance,Cost_Variance,Profit_Margin,Revenue_Growth_Rate,Operating_Margin,Budgeted_Net_Profit,Product_Category
2021-01-31,249816.05,126153.44,30938.76,30591.83,3.56,487.59,242321.5685,134984.1808,7494.48,-8830.74,12.25,0.0,87.62,27703.91,Medical Devices
2021-02-28,480285.72,74418.03,168628.44,16928.19,1.33,362.41,504300.006,71441.3088,-24014.29,2976.72,3.52,92.26,64.89,65327.86,Biologics
2021-03-31,392797.58,221058.26,150165.75,36077.63,6.49,808.58,404581.5074,205584.1818,-11783.93,15474.08,9.18,-18.22,61.77,41075.14,Prescription Drugs
2021-04-30,339463.39,160038.12,153931.22,24509.92,5.52,782.54,363225.82730000006,161638.5012,-23762.44,-1600.38,7.22,-13.58,54.65,37000.87,Biologics
2021-05-31,162407.46,80509.56,161115.96,93672.79,1.46,441.87,167279.6838,87755.4204,-4872.22,-7245.86,57.68,-52.16,0.8,23608.19,Biologics
2021-06-30,162397.81,173794.23,42587.59,82730.83,3.51,662.99,164021.7881,180745.9992,-1623.98,-6951.77,50.94,-0.01,73.78,19356.13,OTC Drugs
2021-07-31,123233.44,58597.13,90939.17,67006.34,9.17,749.47,113374.7648,59183.1013,9858.68,-585.97,54.37,-24.12,26.21,12057.75,Prescription Drugs
2021-08-31,446470.46,277330.1,49697.74,88431.45,3.16,605.36,433076.3462,255143.692,13394.11,22186.41,19.81,262.3,88.87,54616.19,Prescription Drugs
2021-09-30,340446.0,114695.0,176727.58,82330.49,2.3,591.31,323423.7,116988.9,17022.3,-2293.9,24.18,-23.75,48.09,44794.08,Prescription Drugs
2021-10-31,383229.03,215630.57,135960.68,26791.31,5.41,433.02,364067.5785,237193.62700000004,19161.45,-21563.06,6.99,12.57,64.52,40335.43,Biologics
2021-11-30,108233.8,127927.77,86252.66,90330.31,9.87,351.21,117974.84200000002,118972.8261,-9741.04,8954.94,83.46,-71.76,20.31,15471.75,Medical Devices
2021-12-31,487963.94,180017.01,40804.92,58540.8,3.18,793.47,478204.6612,180017.01,9759.28,0.0,12.0,350.84,91.64,49861.14,Prescription Drugs
2022-01-31,432977.06,186677.57,82866.99,82669.61,7.05,795.23,467615.2248,201611.7756,-34638.16,-14934.21,19.09,-11.27,80.86,47969.88,Diagnostics
2022-02-28,184935.64,96213.61,85281.16,90648.22,7.85,648.21,190483.7092,101024.2905,-5548.07,-4810.68,49.02,-57.29,53.89,24109.09,Biologics
2022-03-31,172729.99,292396.16,154033.05,38620.31,3.14,486.47,183093.7894,304092.00639999995,-10363.8,-11695.85,22.36,-6.6,10.82,23258.73,OTC Drugs
2022-04-30,173361.8,243783.21,138384.77,19904.67,7.55,492.07,173361.8,253534.5384,0.0,-9751.33,11.48,0.37,20.18,22861.48,Medical Devices
2022-05-31,221696.9,284874.74,180826.17,30514.16,4.31,699.28,226130.838,276328.4978,-4433.94,8546.24,13.76,27.88,18.44,30822.67,Diagnostics
2022-06-30,309902.57,273706.84,110276.54,48439.7,6.69,793.41,309902.57,262758.5664,0.0,10948.27,15.63,39.79,64.42,46111.21,Diagnostics
2022-07-31,272778.01,199474.99,50331.02,83621.33,6.7,787.9,256411.3294,211443.4894,16366.68,-11968.5,30.66,-11.98,81.55,32260.4,OTC Drugs
2022-08-31,216491.66,280468.56,151251.61,87465.75,5.82,728.93,225151.3264,297296.67360000004,-8659.67,-16828.11,40.4,-20.63,30.14,26150.84,Medical Devices
2022-09-30,344741.16,72123.13,159333.46,10625.69,1.81,653.12,330951.51359999995,77171.74910000002,13789.65,-5048.62,3.08,59.24,53.78,46253.56,Biologics
2022-10-31,155797.54,98995.72,125417.12,55967.26,8.52,346.28,140217.78600000002,106915.3776,15579.75,-7919.66,35.92,-54.81,19.5,15920.55,Vaccines
2022-11-30,216857.86,61306.82,161064.42,47566.99,3.89,388.9,223363.5958,61306.82,-6505.74,0.0,21.93,39.19,25.73,27238.87,Medical Devices
2022-12-31,246544.74,131332.58,113945.25,29989.7,2.68,794.2,231752.0556,131332.58,14792.68,0.0,12.16,13.69,53.78,24084.33,OTC Drugs
2023-01-31,282427.99,147169.32,118864.58,20787.88,1.37,633.54,307846.5091,155999.4792,-25418.52,-8830.16,7.36,14.55,57.91,31174.86,Diagnostics
2023-02-28,414070.38,117837.26,102681.97,40385.37,6.32,305.06,451336.7142000001,121372.3778,-37266.33,-3535.12,9.75,46.61,75.2,66857.6,Biologics
2023-03-31,179869.51,257184.38,34321.25,94861.87,7.1,355.81,194259.0708,267471.7552,-14389.56,-10287.38,52.74,-56.56,80.92,27545.74,Medical Devices
2023-04-30,305693.78,139188.33,48341.54,39088.26,1.15,664.93,296522.96660000004,147539.6298,9170.81,-8351.3,12.79,69.95,84.19,39970.91,Vaccines
2023-05-31,336965.83,120233.63,35342.96,56691.16,5.61,302.78,303269.24700000003,129852.3204,33696.58,-9618.69,16.82,10.23,89.51,36528.07,Vaccines
2023-06-30,118580.17,185674.02,138189.77,73271.71,3.04,388.44,129252.3853,180103.7994,-10672.22,5570.22,61.79,-64.81,-16.54,14045.17,Prescription Drugs
2023-07-31,343017.94,85231.06,83440.52,42726.66,6.81,601.8,339587.7606,83526.43879999999,3430.18,1704.62,12.46,189.27,75.67,36614.98,Prescription Drugs
2023-08-31,168209.65,250549.25,116457.02,97460.39,2.57,680.54,183348.5185,230505.31,-15138.87,20043.94,57.94,-50.96,30.77,20628.94,OTC Drugs
2023-09-30,126020.64,68637.66,184286.3,96620.26,7.22,658.58,137362.4976,70010.41320000001,-11341.86,-1372.75,76.67,-25.08,-46.24,17508.41,Medical Devices
2023-10-31,479554.21,296721.73,72379.68,32660.41,4.48,423.35,513123.0047000001,270016.7743,-33568.79,26704.96,6.81,280.54,84.91,69646.08,Medical Devices
2023-11-30,486252.81,243061.19,99765.1,54752.37,9.43,691.7,466802.6976,240630.5781,19450.11,2430.61,11.26,1.4,79.48,62089.37,Diagnostics
2023-12-31,423358.94,99678.92,158443.69,37079.05,2.24,430.49,414891.7612,100675.7092,8467.18,-996.79,8.76,-12.93,62.57,47296.29,Diagnostics
